question,should_answer,veridoc_answer,veridoc_refused,veridoc_sources,keyword_answer,vanilla_answer,vanilla_refused
How much are the mess charges per semester?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the mess charges are:  Component Amount (per semester) Mess Charges 28,000  So, the answer is: Rs. 28,000 per semester.",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","According to our records, the meal plan charges for the upcoming semester are as follows:  * The standard meal plan (14 meals/week) costs $2,400. * The premium meal plan (21 meals/week) costs $3,200. ",no
What is the hostel security deposit and is it refundable?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 2], the Hostel Security Deposit is Rs. 10,000 (one-time, refundable).",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p2,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","The hostel security deposit at our college is $200. It is fully refundable, provided you leave the dormitory in good condition and do not have any outstanding fees or damages.",no
How much does a duplicate ID card cost?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], a duplicate ID card can be obtained from the Administrative Office on payment of Rs. 100 and submission of a writte",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Service Charge (Rs.) Duplicate ID Card 100 Bonafide / Transfer Certificate 200 Duplicate Mark Sheet 500 Answer-sheet R",A duplicate ID card costs $20.,no
What is the fee for a bonafide or transfer certificate?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 2], the fee for a Bonafide / Transfer Certificate is Rs. 200.",no,SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Service Charge (Rs.) Duplicate ID Card 100 Bonafide / Transfer Certificate 200 Duplicate Mark Sheet 500 Answer-sheet R",The fee for a bonafide or transfer certificate at our college is $20.00.,no
How much is a duplicate mark sheet?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 2], a duplicate Mark Sheet costs Rs. 500.",no,SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Service Charge (Rs.) Duplicate ID Card 100 Bonafide / Transfer Certificate 200 Duplicate Mark Sheet 500 Answer-sheet R","According to our records, the cost of a duplicate mark sheet at [College Name] is $10.00. If you need one, please visit our registrar's office with your student ID and we'll be happy to assist you!",no
What is the fee for answer-sheet re-evaluation per subject?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], the fee for answer-sheet re-evaluation per subject is Rs. 300.  **Answer:** Rs. 300 per subject",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati",The fee for answer-sheet re-evaluation per subject at our college is $15.,no
How much does a photocopy of an answer sheet cost per subject?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], a photocopy of an answer sheet can be obtained for Rs. 150 per subject.  Answer: Rs. 150 per subject.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Service Charge (Rs.) Duplicate ID Card 100 Bonafide / Transfer Certificate 200 Duplicate Mark Sheet 500 Answer-sheet R","According to our college's policy, the cost of a photocopy of an answer sheet is $0.25 per subject.",no
What is the backlog re-examination fee per subject?,yes,The backlog re-examination fee per subject is Rs. 800.,no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati",The backlog re-examination fee per subject at our college is ₹500.,no
What happens if the fee is unpaid for 30 days after the due date?,yes,"If the fee remains unpaid for 30 days beyond the due date, the student's registration for the semester may be cancelled.",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","If the fee remains unpaid for 30 days after the due date, your account will be placed on hold, and you'll no longer have access to campus services such as registration, transcripts, and grades. Additi",no
Is cash payment accepted for large fee amounts?,yes,I could not find this information in the official documents.,yes,,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 1 Sunrise Institute of Technology (Approved by AICTE | Affiliated to Savitribai Phule Pune University | NAAC 'A' Grade) ","No, cash payments are not accepted for large fee amounts at our college. We recommend using alternative methods such as check, money order, or online payment through our secure portal. If you have any",no
What is the refund policy if I withdraw before classes start?,yes,"If a student withdraws admission before the commencement of classes, the tuition fee is refunded after deducting Rs. 1,000 as processing charges.",no,SIT_Fee_Circular_2026-27.pdf p2; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Service Charge (Rs.) Duplicate ID Card 100 Bonafide / Transfer Certificate 200 Duplicate Mark Sheet 500 Answer-sheet R","According to our college's policy, if you withdraw from all courses before classes start, you will receive a 100% tuition refund, minus a $50 administrative fee. Additionally, any related fees (e.g., ",no
Within how many days are refunds processed?,yes,Refund requests are processed within 45 days.,no,SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","Refunds at our college are typically processed within 7-10 business days after the date of withdrawal or drop. However, please note that this timeframe may vary depending on the specific circumstances",no
What is the minimum attendance required to appear for exams?,yes,"According to the context passage, a student must maintain a minimum of 75% attendance in each subject to be eligible to appear for the end-semester examination.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p1,"our-year Bachelor of Technology (B.Tech) programmes in Computer Science & Engineering, Information Technology, Electronics & Communication, Mechanical Engineering, and Civil Engineering, along with se","According to our college's academic policy, students must have a minimum attendance of 75% in each subject to be eligible to appear for exams.",no
Can I get condonation if my attendance is between 65 and 75 percent?,yes,"Yes, you can apply for condonation by submitting a valid medical certificate and paying a condonation fee of Rs. 250 per subject.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1,"our-year Bachelor of Technology (B.Tech) programmes in Computer Science & Engineering, Information Technology, Electronics & Communication, Mechanical Engineering, and Civil Engineering, along with se","No, according to our college's policy, students with an attendance percentage below 80% (which includes your range of 65-75%) are not eligible for condonation. You may want to speak with your academic",no
What happens if my attendance is below 65 percent?,yes,You will be detained and must repeat the semester.,no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1,"our-year Bachelor of Technology (B.Tech) programmes in Computer Science & Engineering, Information Technology, Electronics & Communication, Mechanical Engineering, and Civil Engineering, along with se","If your attendance falls below 65%, you may be placed on academic probation or even face disciplinary action, depending on the specific policies of your college. Additionally, you may also risk losing",no
What is the minimum percentage needed to pass a subject?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], ""To pass a subject, a student must score a minimum of 40% in the end-semester examination and 40% in aggregate (int",yes,,ndonation fee of Rs. 250 per subject. Students with attendance below 65% will be detained and must repeat the semester. Attendance is calculated up to seven days before the commencement of the end-sem,"According to our college's academic policies, the minimum passing grade for a subject is 50%.",no
Within how many days can I apply for re-evaluation?,yes,"Within 10 days of the declaration of results, along with a fee of Rs. 300 per subject.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","According to our college's policy, you have 5 business days from the date of your grade posting to submit an application for re-evaluation.",no
When are revaluation results declared?,yes,Revaluation results are declared within 30 days.,no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","Revaluation results for the current semester are typically declared within 4-6 weeks from the submission of revaluation forms. However, please note that this timeline may vary depending on the specifi",no
What is the maximum number of backlog subjects I can carry to the next year?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], a student may carry a maximum of four backlog subjects to the next academic year.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","According to our college's policy, students are allowed to carry a maximum of 2 backlog subjects to the next academic year. However, it's essential to note that you'll need to meet certain conditions ",no
How many books can an undergraduate borrow at a time?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], each undergraduate student may borrow up to 4 books at a time for a period of 14 days.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,8:00 PM on all working days and from 9:00 AM to 1:00 PM on Saturdays. Each undergraduate student may borrow up to 4 books at a time for a period of 14 days. A fine of Rs. 5 per day per book is charged,"According to our college's library policy, undergraduate students can borrow up to 10 books at a time.",no
For how many days can library books be borrowed?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], ""Each undergraduate student may borrow up to 4 books at a time for a period of 14 days."" Therefore, library books c",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","According to our college's policy, library books can be borrowed for 7 days. However, some materials may have different loan periods or restrictions, so it's always a good idea to check the due date a",no
What are the library working hours on weekdays?,yes,The library remains open from 8:00 AM to 8:00 PM on all working days.,no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p2,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati","The library at your college is open Monday through Friday from 8am to 10pm, with extended hours during peak periods. However, please note that hours may vary slightly depending on semester and holiday",no
What are the library timings on Saturday?,yes,"The library remains open from 9:00 AM to 1:00 PM on Saturdays.  [Source: SIT_Student_Handbook_2026-27.pdf, page 4]",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"re-evaluation of the answer sheet within 10 days of the declaration of results, along with a fee of Rs. 300 per subject. Photocopies of answer sheets can be obtained for Rs. 150 per subject. Revaluati",The library at your college is open from 9:00 AM to 5:00 PM on Saturdays.,no
What is the library late return fine?,yes,"A fine of Rs. 5 per day per book is charged for late return.  [Source: SIT_Student_Handbook_2026-27.pdf, page 1]",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,8:00 PM on all working days and from 9:00 AM to 1:00 PM on Saturdays. Each undergraduate student may borrow up to 4 books at a time for a period of 14 days. A fine of Rs. 5 per day per book is charged,"The library late return fine at our college is $0.25 per day for each item, with a maximum fine of $5.00 per item.",no
What is the National Anti-Ragging Helpline number?,yes,"The National Anti-Ragging Helpline number is 1800-180-5522 (toll-free, 24x7).",no,SIT_Student_Handbook_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 6. Anti-Ragging Policy Ragging in any form is strictly prohibited and is a punishable offence under UGC Regulations, 2",The National Anti-Ragging Helpline number is 1800-425-9444 (toll-free).,no
Where is the Grievance Redressal Cell located?,yes,"The Grievance Redressal Cell is located in Room No. 108, Administrative Block.",no,SIT_Student_Handbook_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 6. Anti-Ragging Policy Ragging in any form is strictly prohibited and is a punishable offence under UGC Regulations, 2","The Grievance Redressal Cell is located in the Student Affairs Office, Room 204, on the second floor of the Student Union Building. You can also reach out to them via email at [grievanceredressal@coll",no
Within how many days must the Grievance Cell respond?,yes,The Grievance Cell is required to respond within 7 working days of receiving a complaint.,no,SIT_Student_Handbook_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 6. Anti-Ragging Policy Ragging in any form is strictly prohibited and is a punishable offence under UGC Regulations, 2","According to our college policies, the Grievance Cell is expected to respond within 7 working days from the date of receipt of the grievance.",no
When was Sunrise Institute of Technology established?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], Sunrise Institute of Technology (SIT) was established in 2004.  Answer: 2004",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 1 Sunrise Institute of Technology (Approved by AICTE | Affiliated to Savitribai Phule Pune University | NAAC 'A' Grade) ",Sunrise Institute of Technology was established in 2001.,no
Who is eligible for the merit scholarship?,yes,"According to the context passage, a student is eligible for the Merit Scholarship if they have scored 85% or above (CGPA 8.5) in the previous academic year, have no backlog (failed) subjects, and have",no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,"klog (failed) subjects, and have no pending disciplinary action. Eligible students receive a 50% waiver on tuition fee for the following year. The top three rank-holders in each programme additionally","According to our college's policy, students who have achieved a cumulative GPA of 3.5 or higher at the end of their freshman year are eligible to apply for the merit scholarship. Additionally, student",no
What benefit does the merit scholarship give?,yes,"According to the context, the Merit Scholarship gives a 50% tuition waiver for students who score 85% or above (CGPA 8.5) in the previous academic year and have no backlog (failed) subjects. Additiona",no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,ion fee. This scholarship cannot be combined with the Merit Scholarship; a student receives whichever is higher. 3. Government & External Scholarships The Institute facilitates State and Central Gover,"The merit scholarship at our college provides a one-time award of $5,000 to students who demonstrate exceptional academic achievement and potential. The scholarship is renewable for up to four years, ",no
What do the top three rank-holders in each programme receive?,yes,"According to the context, the top three rank-holders in each programme receive a full (100%) tuition waiver.",no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,"klog (failed) subjects, and have no pending disciplinary action. Eligible students receive a 50% waiver on tuition fee for the following year. The top three rank-holders in each programme additionally","At our college, the top three rank-holders in each program typically receive:  1. The President's Gold Medal: Awarded to the highest-ranked student in each program. 2. The Vice-Chancellor's Silver Med",no
What is the income limit for the means-based scholarship?,yes,"The income limit for the means-based scholarship is below Rs. 2,50,000.",no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"klog (failed) subjects, and have no pending disciplinary action. Eligible students receive a 50% waiver on tuition fee for the following year. The top three rank-holders in each programme additionally","According to our college's financial aid policy, the income limit for the means-based scholarship is $50,000 per year for dependent students and $100,000 per year for independent students. However, pl",no
What waiver does the means-based scholarship provide?,yes,"According to the context passage:  ""Means-Based Scholarship supports students from economically weaker families. A student is eligible if the annual family income is below Rs. 2,50,000, supported by a",no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p2,"klog (failed) subjects, and have no pending disciplinary action. Eligible students receive a 50% waiver on tuition fee for the following year. The top three rank-holders in each programme additionally",The means-based scholarship at our college provides a waiver of tuition for students who demonstrate financial need and meet certain eligibility criteria. This waiver covers the difference between the,no
Can I get both merit and means-based scholarship together?,yes,I could not find this information in the official documents.,yes,,"klog (failed) subjects, and have no pending disciplinary action. Eligible students receive a 50% waiver on tuition fee for the following year. The top three rank-holders in each programme additionally","Yes, it is possible to receive both merit-based and means-based scholarships at your college. Many colleges offer a combination of these types of scholarships to students who demonstrate academic exce",no
